,TOWN_CODE,LOCATION,ABE_DA,AEN_DA,AREA_TA,UN_NA,LASTMOD,POLY_LIST,splitArea
,2106,起北汕尾路3段(與)訖台江大道4段(交叉口),2018.07.09,2018.09.09,2.88,台灣電力公司台南區營業處,2018-12-03T10:16:57.487,"[120.14560940159583, 23.06426800460788]",199.0
,2106,起海中街130巷22號(對面)訖海中街138巷29號(對面等2戶),2018.07.09,2018.10.09,3.5,台灣自來水公司台南服務所,2019-01-04T15:23:22.390,"[120.18465650138324, 23.041773028819136]",149.0
,2108,起王行路351巷77號(對面),2018.07.09,2018.09.08,1,台灣電力公司台南區營業處,2018-10-29T16:49:27.093,"[120.27115449210095, 23.03832036036654]",158.0
,2106,起安中路4段320巷15弄175-15號,2018.07.09,2018.10.09,2.5,台灣自來水公司台南服務所,2019-01-02T17:31:50.463,"[120.16226568903863, 23.056779681870054]",182.0
,2106,北安2街17號(旁),2018.07.09,2018.10.09,2,台灣自來水公司台南服務所,2018-10-11T16:33:51.110,"[120.2058750202875, 23.035633714057102]",151.0
,2106,起海佃路4段247號(對面),2018.07.09,2018.10.09,1,台灣自來水公司台南服務所,2018-12-14T11:05:01.730,"[120.17656158455974, 23.059530190144073]",184.0
,2106,起海佃路4段68-6號,2018.07.09,2018.10.09,2,台灣自來水公司台南服務所,2018-12-14T11:10:53.713,"[120.17731728385826, 23.055266513227203]",184.0
,2106,海中街138巷19號(對面),2018.07.09,2018.10.09,3.6,台灣自來水公司台南服務所,2018-12-14T10:51:50.907,"[120.18436080269304, 23.041999652764034]",149.0
,2107,建平8街138號(前),2018.07.09,2018.10.09,1,台灣自來水公司台南服務所,2018-12-11T14:21:04.040,"[120.17734221284587, 22.99095271395499]",58.0
,2108,永和街260巷12弄7號(等),2018.07.09,2018.09.09,23.94,台灣電力公司台南區營業處,2019-02-12T11:35:06.333,"[120.2530927169201, 23.019189987316764]",120.0
,2103,仁南街82號(挖仁南4街),2018.07.09,2018.10.06,2,欣南天然氣股份有限公司,2019-02-01T08:51:49.573,"[120.18478782951816, 22.984261435553858]",41.0
,2106,起本田路3段(與)訖本淵路(口),2018.07.09,2018.10.31,3,台灣自來水公司台南給水廠,2018-11-05T13:27:22.570,"[120.17140132744677, 23.049059694367745]",165.0
,2107,起安北路3號訖安北路33號,2018.07.09,2018.10.07,82.2,欣南天然氣股份有限公司,2019-02-19T15:51:43.373,"[120.1673964269163, 22.99991403959415]",75.0
,2107,起安北路33號訖安北路67號,2018.07.09,2018.10.07,85.2,欣南天然氣股份有限公司,2019-02-19T15:51:58.627,"[120.16663553852591, 23.00065000479244]",75.0
,2107,起安北路67號訖安北路99號,2018.07.09,2018.10.07,92.4,欣南天然氣股份有限公司,2019-02-19T15:52:20.697,"[120.16518057027292, 23.00183439274873]",75.0
,2107,起安北路99號訖安北路115號,2018.07.09,2018.10.07,67.2,欣南天然氣股份有限公司,2019-02-19T15:52:39.323,"[120.16516802275497, 23.001881912966333]",75.0
,2103,起大同路2段482巷75號,2018.07.10,2018.09.10,104.4,台灣電力公司台南區營業處,2018-12-28T16:00:54.353,"[120.21208850382087, 22.97304568769604]",26.0
,2115,義林七街55號(對面),2018.07.10,2018.08.10,0.75,台灣自來水股份有限公司第六區管理處歸仁服務所,2018-11-01T13:21:20.480,"[120.2626619202462, 22.96976650177027]",13.0
,2115,義林六街15號(邊),2018.07.10,2018.08.10,0.75,台灣自來水股份有限公司第六區管理處歸仁服務所,2018-10-30T13:53:48.863,"[120.26317042015317, 22.969165694050638]",13.0
,2104,起公園北路112號(前)訖公園北路112號(前),2018.07.10,2018.09.10,6.96,台灣電力公司台南區營業處,2019-01-17T14:56:48.130,"[120.20962899191125, 23.00482143270609]",79.0
,2102,起永福路1段(與)訖府緯街(交叉口),2018.07.10,2018.09.10,8.04,台灣電力公司台南區營業處,2019-01-17T14:39:11.203,"[120.200042038654, 22.983899234899784]",42.0
,2107,起平通路(與)訖育平路(口),2018.07.10,2018.09.10,8.64,台灣電力公司台南區營業處,2019-02-27T14:01:53.007,"[120.16767115559638, 22.99416017173268]",57.0
,2104,起文成路779-1號,2018.07.10,2018.09.10,4.8,台灣電力公司台南區營業處,2019-01-03T18:16:03.823,"[120.19489975378275, 23.012167730888265]",96.0
,2108,永中街178號,2018.07.10,2018.09.10,1.8,台灣電力公司台南區營業處,2018-10-11T14:52:08.430,"[120.2587287275605, 23.025868298253105]",138.0
,2106,起海佃路2段(與)訖安通5路(交叉口),2018.07.10,2018.09.10,1.44,台灣電力公司台南區營業處,2018-12-03T10:18:07.923,"[120.19050791011847, 23.029878120356347]",131.0
,2101,起德昌路196巷1號,2018.07.10,2018.09.10,16.32,台灣電力公司台南區營業處,2018-10-19T15:39:24.680,"[120.2377060430464, 22.968310656126928]",10.0
,2108,起大灣路942巷189.217號,2018.07.10,2018.09.10,2.88,台灣電力公司台南區營業處,2019-02-20T14:13:24.720,"[120.25625467917355, 23.003625970918524]",84.0
