0,1,2,3,4,5,6,7,8,9,10,11,12,13,hole,splitArea
652,1080800412,2019/08/30 16:48:47,結案,PC,第一工務大隊,葉明晉,路面坑洞,中西區,鋪面,路面坑洞,,大勇街尾運河邊掏空等修復工程,經度:120.192967969603 緯度:22.9900010562729X_97坐標:167261.31 Y_97坐標:2543403.51,0,60.0
671,1080800393,2019/08/29 22:25:07,結案,PC,第一工務大隊,葉明晉,路面坑洞,東區,鋪面,路面坑洞,,崇明七街31號前路面掏空等修復工程,經度:120.217667720765 緯度:22.9792408846802X_97坐標:169787.34 Y_97坐標:2542198.21,0,44.0
672,1080800392,2019/08/29 22:20:32,結案,PC,第一工務大隊,葉明晉,路面坑洞,東區,鋪面,路面坑洞,,崇學路12號前掏空等修復工程,經度:120.218405402684 緯度:22.9965156133482X_97坐標:169873.17 Y_97坐標:2544110.81,0,62.0
675,1080800389,2019/08/29 22:14:36,結案,PC,第一工務大隊,葉明晉,路面坑洞,東區,鋪面,路面坑洞,,府連地下道上路面掏空等修復工程,經度:120.217211280978 緯度:22.9862162408615X_97坐標:169744.66 Y_97坐標:2542970.91,0,44.0
676,1080800388,2019/08/29 22:06:15,結案,PC,第一工務大隊,葉明晉,路面坑洞,東區,鋪面,路面坑洞,,林森路一段132號前人行道掏空等修復工程,經度:120.217322751808 緯度:22.9830523508621X_97坐標:169754.22 Y_97坐標:2542620.48,0,44.0
677,1080800387,2019/08/29 22:02:11,結案,PC,第一工務大隊,葉明晉,路面坑洞,中西區,鋪面,路面坑洞,,中華東路與崇善路口掏空等修復工程,經度:120.233353250126 緯度:22.9862106371941X_97坐標:171399.68 Y_97坐標:2542961.55,0,46.0
678,1080800386,2019/08/29 21:52:55,結案,PC,第一工務大隊,葉明晉,路面坑洞,中西區,鋪面,路面坑洞,,崇善八街40號前掏空等搶修工程,經度:120.23128367452 緯度:22.9723876686674X_97坐標:171179.47 Y_97坐標:2541431.91,0,28.0
702,1080800360,2019/08/26 08:34:51,結案,PC,養護工程科一股,許文耀,路面坑洞,安平區,鋪面,路面坑洞,,安平路500巷對面淘空,經度:120.172237616564 緯度:22.998836870076X_97坐標:165141.41 Y_97坐標:2544393.84,0,75.0
707,1080800354,2019/08/25 10:51:34,錄案,手機,泉棸營造有限公司,周巡查,路面坑洞,永康區,鋪面,路面坑洞,,永康新化區180甲線 4K 300,經度:120.254908 緯度:22.9994286X_97坐標:173617.09 Y_97坐標:2544413.91,0,84.0
708,1080800353,2019/08/25 10:22:51,錄案,手機,泉棸營造有限公司,周巡查,路面坑洞,永康區,鋪面,路面坑洞,,永康新化區180甲線 8K 200,經度:120.2784417 緯度:23.0208343X_97坐標:176041.4 Y_97坐標:2546772.3,0,122.0
728,1080800328,2019/08/23 14:52:40,結案,PC,養護工程科一股,鄭世衡,路面破(龜)裂,永康區,鋪面,路面破(龜)裂,,永康區. 路面破裂共3件,經度:120.265140591446 緯度:23.0102158277388X_97坐標:174672.12 Y_97坐標:2545603.19,0,103.0
764,1080800290,2019/08/21 17:07:28,結案,PC,養護工程科一股,鄭世衡,人手孔周圍沉陷或損壞,南區,鋪面,人手孔周圍沉陷或損壞,,南區:加設墊片 共20座,經度:120.186549497332 緯度:22.984963021096X_97坐標:166600.15 Y_97坐標:2542849.23,0,41.0
765,1080800289,2019/08/21 17:00:45,結案,PC,養護工程科一股,鄭世衡,人手孔周圍沉陷或損壞,南區,鋪面,人手孔周圍沉陷或損壞,,南區、永康區:加設墊片 共21、仁德、新市、柳營區:手孔調昇 共3座,經度:120.193298461546 緯度:22.9814868783256X_97坐標:167290.01 Y_97坐標:2542460.46,0,42.0
766,1080800288,2019/08/21 16:42:50,結案,PC,養護工程科一股,鄭世衡,人手孔周圍沉陷或損壞,安平區,鋪面,人手孔周圍沉陷或損壞,,安平區:加設墊片 共23座,經度:120.181774999016 緯度:22.9863124616383X_97坐標:166111.45 Y_97坐標:2543001.39,0,40.0
767,1080800287,2019/08/21 16:35:01,結案,PC,養護工程科一股,鄭世衡,人手孔周圍沉陷或損壞,安平區,鋪面,人手孔周圍沉陷或損壞,,安平區:加設墊片 共20座,經度:120.17132934914 緯度:22.9909678224558X_97坐標:165043.37 Y_97坐標:2543522.94,0,57.0
768,1080800286,2019/08/21 16:26:27,結案,PC,養護工程科一股,鄭世衡,人手孔周圍沉陷或損壞,安平區,鋪面,人手孔周圍沉陷或損壞,,安平區:加設墊片 共14座,經度:120.166217690561 緯度:22.9916048049492X_97坐標:164519.69 Y_97坐標:2543596.45,0,57.0
769,1080800285,2019/08/21 16:17:21,結案,PC,養護工程科一股,鄭世衡,人手孔周圍沉陷或損壞,安平區,鋪面,人手孔周圍沉陷或損壞,,安平區:加設墊片 共16座,經度:120.164461802077 緯度:22.9917229686979X_97坐標:164339.74 Y_97坐標:2543610.56,0,57.0
770,1080800284,2019/08/21 16:08:42,結案,PC,養護工程科一股,鄭世衡,人手孔周圍沉陷或損壞,安平區,鋪面,人手孔周圍沉陷或損壞,,安平區:加設墊片 共23座,經度:120.165618182393 緯度:22.9918195444715X_97坐標:164458.36 Y_97坐標:2543620.58,0,57.0
771,1080800283,2019/08/21 15:57:59,結案,PC,養護工程科一股,鄭世衡,人手孔周圍沉陷或損壞,安平區,鋪面,人手孔周圍沉陷或損壞,,安平區:加設墊片 共19座,經度:120.174115458855 緯度:22.9908071866897X_97坐標:165328.92 Y_97坐標:2543503.54,0,58.0
772,1080800282,2019/08/21 15:26:35,結案,PC,養護工程科一股,鄭世衡,人手孔周圍沉陷或損壞,中西區,鋪面,人手孔周圍沉陷或損壞,,中西區:加設墊片18座,經度:120.191378418683 緯度:22.9883493795637X_97坐標:167097.33 Y_97坐標:2543221.5,0,59.0
